full_name,date_of_birth,time_of_birth,place_of_birth,astrosage_url,accuracy_rating,data_source
About Sanjay Yadav/ Who is Sanjay Yadav ?,"May 10, 1995",12:00:00,Gorakhpur,https://www.astrosage.com/celebrity-horoscope/sanjay-yadav-horoscope.asp,Dirty Data,Dirty Data
About Fabian Allen/ Who is Fabian Allen ?,"May 7, 1995",12:00:00,Kingston,https://www.astrosage.com/celebrity-horoscope/fabian-allen-horoscope.asp,Dirty Data,Dirty Data
About Sandeep Bavanaka/ Who is Sandeep Bavanaka ?,"April 25, 1992",12:00:00,Hyderabad,https://www.astrosage.com/celebrity-horoscope/sandeep-bavanaka-horoscope.asp,Dirty Data,Dirty Data
About Abdul Samad/ Who is Abdul Samad ?,"October 28, 2001",12:00:00,Kalakote,https://www.astrosage.com/celebrity-horoscope/abdul-samad-horoscope.asp,Dirty Data,Dirty Data
About Priyam Garg/ Who is Priyam Garg ?,"November 30, 2000",12:00:00,Meerut,https://www.astrosage.com/celebrity-horoscope/priyam-garg-horoscope.asp,Dirty Data,Dirty Data
About Virat Singh/ Who is Virat Singh ?,"December 8, 1997",12:00:00,Jamshedpur,https://www.astrosage.com/celebrity-horoscope/virat-singh-horoscope.asp,Dirty Data,Dirty Data
About Finn Allen/ Who is Finn Allen ?,"April 22, 1999",12:00:00,Auckland,https://www.astrosage.com/celebrity-horoscope/finn-allen-horoscope.asp,Dirty Data,Dirty Data
About Dan Christian/ Who is Dan Christian ?,"May 4, 1983",12:00:00,camperdown,https://www.astrosage.com/celebrity-horoscope/dan-christian-horoscope.asp,Dirty Data,Dirty Data
About Rajat Patidar/ Who is Rajat Patidar ?,"June 1, 1993",12:00:00,Indore,https://www.astrosage.com/celebrity-horoscope/rajat-patidar-horoscope.asp,Dirty Data,Dirty Data
About Ks Bharat/ Who is Ks Bharat ?,"October 3, 1993",12:00:00,Vishakhapatnam,https://www.astrosage.com/celebrity-horoscope/ks-bharat-horoscope.asp,Dirty Data,Dirty Data
About Kyle Jamieson/ Who is Kyle Jamieson ?,"December 30, 1994",12:00:00,Auckland,https://www.astrosage.com/celebrity-horoscope/kyle-jamieson-horoscope.asp,Dirty Data,Dirty Data
About Mohammed Azharuddeen/ Who is Mohammed Azharuddeen ?,"March 22, 1994",12:00:00,Thalangara,https://www.astrosage.com/celebrity-horoscope/mohammed-azharuddeen-horoscope.asp,Dirty Data,Dirty Data
About Isuru Udana/ Who is Isuru Udana ?,"Febuary 17, 1988",12:00:00,balangoda,https://www.astrosage.com/celebrity-horoscope/isuru-udana-horoscope.asp,Dirty Data,Dirty Data
About Daniel Sams/ Who is Daniel Sams ?,"October 27, 1992",12:00:00,Milperra,https://www.astrosage.com/celebrity-horoscope/daniel-sams-horoscope.asp,Dirty Data,Dirty Data
About Shahbaz Ahmed/ Who is Shahbaz Ahmed ?,"December 12, 1994",12:00:00,mewat,https://www.astrosage.com/celebrity-horoscope/shahbaz-ahmed-horoscope.asp,Dirty Data,Dirty Data
About Josh Philippe/ Who is Josh Philippe ?,"June 1, 1997",12:00:00,Subiaco,https://www.astrosage.com/celebrity-horoscope/josh-philippe-horoscope.asp,Dirty Data,Dirty Data
About Saurabh Kumar/ Who is Saurabh Kumar ?,"May 1, 1993",12:00:00,Baghpat,https://www.astrosage.com/celebrity-horoscope/saurabh-kumar-horoscope.asp,Dirty Data,Dirty Data
About Utkarsh Singh/ Who is Utkarsh Singh ?,"May 7, 1998",12:00:00,Ranchi,https://www.astrosage.com/celebrity-horoscope/utkarsh-singh-horoscope.asp,Dirty Data,Dirty Data
About Riley Meredith/ Who is Riley Meredith ?,"June 21, 1996",12:00:00,Hobart,https://www.astrosage.com/celebrity-horoscope/riley-meredith-horoscope.asp,Dirty Data,Dirty Data
About Jhye Richardson/ Who is Jhye Richardson ?,"September 20, 1996",12:00:00,murdoch,https://www.astrosage.com/celebrity-horoscope/jhye-richardson-horoscope.asp,Dirty Data,Dirty Data
About Dawid Malan/ Who is Dawid Malan ?,"September 3, 1987",12:00:00,London,https://www.astrosage.com/celebrity-horoscope/dawid-malan-horoscope.asp,Dirty Data,Dirty Data
About Sheldon Cottrell/ Who is Sheldon Cottrell ?,"August 19, 1989",12:00:00,jamaica,https://www.astrosage.com/celebrity-horoscope/sheldon-cottrell-horoscope.asp,Dirty Data,Dirty Data
About Ravi Bishnoi/ Who is Ravi Bishnoi ?,"September 5, 2000",12:00:00,Jodhpur,https://www.astrosage.com/celebrity-horoscope/ravi-bishnoi-horoscope.asp,Dirty Data,Dirty Data
About Ishan Porel/ Who is Ishan Porel ?,"September 5, 1998",12:00:00,Chinsura,https://www.astrosage.com/celebrity-horoscope/ishan-porel-horoscope.asp,Dirty Data,Dirty Data
About Venkatesh Iyer/ Who is Venkatesh Iyer ?,"December 25, 1994",12:00:00,Indore,https://www.astrosage.com/celebrity-horoscope/venkatesh-iyer-horoscope.asp,Dirty Data,Dirty Data
About Tom Banton/ Who is Tom Banton ?,"November 11, 1998",12:00:00,Chiltern Hills,https://www.astrosage.com/celebrity-horoscope/tom-banton-horoscope.asp,Dirty Data,Dirty Data
About Chris Green/ Who is Chris Green ?,"October 1, 1993",12:00:00,Durban,https://www.astrosage.com/celebrity-horoscope/chris-green-horoscope.asp,Dirty Data,Dirty Data
About Tim Seifert/ Who is Tim Seifert ?,"December 12, 1994",12:00:00,Whangarei,https://www.astrosage.com/celebrity-horoscope/tim-seifert-horoscope.asp,Dirty Data,Dirty Data
About Kc Cariappa/ Who is Kc Cariappa ?,"April 13, 1994",12:00:00,Bangalore,https://www.astrosage.com/celebrity-horoscope/kc-cariappa-horoscope.asp,Dirty Data,Dirty Data
About Chetan Sakariya/ Who is Chetan Sakariya ?,"August 12, 1998",12:00:00,Bhavnagar,https://www.astrosage.com/celebrity-horoscope/chetan-sakariya-horoscope.asp,Dirty Data,Dirty Data
About Akash Singh/ Who is Akash Singh ?,"April 26, 2002",12:00:00,Bharatpur,https://www.astrosage.com/celebrity-horoscope/akash-singh-horoscope.asp,Dirty Data,Dirty Data
About Kuldip Yadav/ Who is Kuldip Yadav ?,"December 14, 1994",12:00:00,Kanpur,https://www.astrosage.com/celebrity-horoscope/kuldip-yadav-horoscope.asp,Dirty Data,Dirty Data
About Kartik Tyagi/ Who is Kartik Tyagi ?,"November 8, 2000",12:00:00,Hapur,https://www.astrosage.com/celebrity-horoscope/kartik-tyagi-horoscope.asp,Dirty Data,Dirty Data
About Anuj Rawat/ Who is Anuj Rawat ?,"October 17, 1999",12:00:00,Ramnagar,https://www.astrosage.com/celebrity-horoscope/anuj-rawat-horoscope.asp,Dirty Data,Dirty Data
About Yashasvi Jaiswal/ Who is Yashasvi Jaiswal ?,"December 28, 2001",12:00:00,Surianwan,https://www.astrosage.com/celebrity-horoscope/yashasvi-jaiswal-horoscope.asp,Dirty Data,Dirty Data
About Arjun Tendulkar/ Who is Arjun Tendulkar ?,"September 24, 1999",12:00:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/arjun-tendulkar-horoscope.asp,Dirty Data,Dirty Data
About Yudhvir Charak/ Who is Yudhvir Charak ?,"December 13, 1997",12:00:00,Jammu,https://www.astrosage.com/celebrity-horoscope/yudhvir-charak-horoscope.asp,Dirty Data,Dirty Data
About Marco Jansen/ Who is Marco Jansen ?,"May 1, 2000",12:00:00,klerksdorp,https://www.astrosage.com/celebrity-horoscope/marco-jansen-horoscope.asp,Dirty Data,Dirty Data
About Digvijay Deshmukh/ Who is Digvijay Deshmukh ?,"April 12, 1998",12:00:00,Ambajogai,https://www.astrosage.com/celebrity-horoscope/digvijay-deshmukh-horoscope.asp,Dirty Data,Dirty Data
About Prince Balwant Rai Singh/ Who is Prince Balwant Rai Singh ?,"May 5, 1999",12:00:00,Sangrur,https://www.astrosage.com/celebrity-horoscope/prince-balwant-rai-singh-horoscope.asp,Dirty Data,Dirty Data
About Harishankar Reddy/ Who is Harishankar Reddy ?,"June 2, 1998",12:00:00,Rayachoti,https://www.astrosage.com/celebrity-horoscope/harishankar-reddy-horoscope.asp,Dirty Data,Dirty Data
About Bhagath Varma/ Who is Bhagath Varma ?,"September 21, 1998",12:00:00,Chennai,https://www.astrosage.com/celebrity-horoscope/bhagath-varma-horoscope.asp,Dirty Data,Dirty Data
About C Hari Nishanth/ Who is C Hari Nishanth ?,"August 16, 1996",13:00:00,Chennai,https://www.astrosage.com/celebrity-horoscope/c-hari-nishanth-horoscope.asp,Dirty Data,Dirty Data
About R Sai Kishore/ Who is R Sai Kishore ?,"November 6, 1996",12:00:00,Chennai,https://www.astrosage.com/celebrity-horoscope/r-sai-kishore-horoscope.asp,Dirty Data,Dirty Data
About Imran Khan/ Who is Imran Khan ?,"October 5, 1952",06:45:00,Lahore,https://www.astrosage.com/celebrity-horoscope/imran-khan-horoscope.asp,Reference,Astrology of Professions (Pathak)
Yograj Singh,"March 25, 1958",12:00:00,Ludhiana,https://www.astrosage.com/celebrity-horoscope/yograj-singh-horoscope.asp,Dirty Data,Dirty Data
Sachin Tendulkar,"April 24, 1973",14:25:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/sachin-tendulkar-horoscope.asp,Reference,Astrology of Professions (Pathak)
M S Dhoni,"July 07, 1981",11:15:00,Ranchi,https://www.astrosage.com/celebrity-horoscope/m-s-dhoni-horoscope.asp,Reference,765 Notable Horoscopes
Doug Bollinger,"July 24, 1981",12:00:00,Baulkham Hills,https://www.astrosage.com/celebrity-horoscope/doug-bollinger-horoscope.asp,Dirty Data,Unknown
Neil Broom,"November 20, 1983",00:00:00,Christchurch,https://www.astrosage.com/celebrity-horoscope/neil-broom-horoscope.asp,Reference,Web
About Pv Sindhu/ Who is Pv Sindhu ?,"July 5, 1995",12:00:00,Hyderabad,https://www.astrosage.com/celebrity-horoscope/pv-sindhu-horoscope.asp,Dirty Data,Dirty Data
Akanksha Singh,"July 30, 1990",12:00:00,Varanasi,https://www.astrosage.com/celebrity-horoscope/akanksha-singh-horoscope.asp,Dirty Data,Unknown
Dhyan Chand,"August 29, 1905",02:00:00,Allahabad,https://www.astrosage.com/celebrity-horoscope/dhyan-chand-horoscope.asp,Reference,Astrology of Professions (Pathak)
Manoj Kumar Boxer,"December 10, 1986",12:00:00,Kaithal,https://www.astrosage.com/celebrity-horoscope/manoj-kumar-boxer-horoscope.asp,Dirty Data,Dirty Data
Doug Smith,"June 21, 1944",12:09:59,"79 W 23, 43 N 39",https://www.astrosage.com/celebrity-horoscope/doug-smith-horoscope.asp,Reference,Internet
Vikram Pillay,"November 27, 1981",12:00:00,Khadki,https://www.astrosage.com/celebrity-horoscope/vikram-pillay-horoscope.asp,Dirty Data,Unknown
Parupalli Kashyap,"September 08, 1986",12:00:00,Hyderabad,https://www.astrosage.com/celebrity-horoscope/parupalli-kashyap-horoscope.asp,Dirty Data,Dirty Data
Diego Maradona,"October 30, 1960",07:05:00,Buenos Aires,https://www.astrosage.com/celebrity-horoscope/diego-maradona-horoscope.asp,Reference,Reference
Neymar,"February 05, 1992",02:15:00,Mogi das Cruzes,https://www.astrosage.com/celebrity-horoscope/neymar-horoscope.asp,Reference,Reference
Heena Sidhu,"August 29, 1989",12:00:00,Ludhiana,https://www.astrosage.com/celebrity-horoscope/heena-sidhu-horoscope.asp,Dirty Data,Dirty Data
Ishant Sharma,"September 02, 1988",12:00:00,Delhi,https://www.astrosage.com/celebrity-horoscope/ishant-sharma-horoscope.asp,Dirty Data,Unknown
R Ashwin,"September 17, 1986",12:00:00,Madras Tamilnadu,https://www.astrosage.com/celebrity-horoscope/r-ashwin-horoscope.asp,Dirty Data,Unknown
V V S Laxman,"November 01, 1974",10:26:23,Hyderabad,https://www.astrosage.com/celebrity-horoscope/v-v-s-laxman-horoscope.asp,Dirty Data,Unknown
Gautam Gambhir,"October 14, 1981",12:00:00,Delhi,https://www.astrosage.com/celebrity-horoscope/gautam-gambhir-horoscope.asp,Dirty Data,Unknown
Zaheer Khan,"October 07, 1978",12:00:00,Shrirampur,https://www.astrosage.com/celebrity-horoscope/zaheer-khan-horoscope.asp,Dirty Data,Unknown
Rahul Dravid,"January 11, 1973",10:58:00,Indore,https://www.astrosage.com/celebrity-horoscope/rahul-dravid-horoscope.asp,Reference,765 Notable Horoscopes
Sourav Ganguly-1,"July 08, 1972",05:45:00,Calcutta,https://www.astrosage.com/celebrity-horoscope/sourav-ganguly-1-horoscope.asp,Reference,765 Notable Horoscopes
Sourav Ganguly,"July 08, 1972",01:00:00,kolkata(india),https://www.astrosage.com/celebrity-horoscope/sourav-ganguly-horoscope.asp,Reference,Lagna Phal (Garg)
Virender Sehwag,"October 20, 1978",02:45:00,Delhi,https://www.astrosage.com/celebrity-horoscope/virender-sehwag-horoscope.asp,Reference,Finance And Profession (Raj Kumar)
Manandeep Singh,"November 03, 1992",12:00:00,Umra,https://www.astrosage.com/celebrity-horoscope/manandeep-singh-horoscope.asp,Dirty Data,Unknown
Jim Jackson,"October 14, 1970",10:25:59,"83 W 32, 41 N 39",https://www.astrosage.com/celebrity-horoscope/jim-jackson-horoscope.asp,Dirty Data,Unknown
Mehtab Hossain,"October 13, 1982",12:00:00,Calcutta,https://www.astrosage.com/celebrity-horoscope/mehtab-hossain-horoscope.asp,Dirty Data,Unknown
Peter Judge,"October 10, 1959",09:53:59,"71 W 4, 42 N 21",https://www.astrosage.com/celebrity-horoscope/peter-judge-horoscope.asp,Reference,Internet
Robin Roberts,"September 30, 1926",11:44:59,"89 W 39, 39 N 47",https://www.astrosage.com/celebrity-horoscope/robin-roberts-horoscope.asp,Reference,Internet
Red Smith,"September 25, 1905",06:15:00,"88 W 1, 44 N 29",https://www.astrosage.com/celebrity-horoscope/red-smith-horoscope.asp,Reference,Internet
Raju Gaikwad,"September 25, 1990",12:00:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/raju-gaikwad-horoscope.asp,Dirty Data,Unknown
Brian Hill,"September 19, 1947",04:08:59,"74 W 9, 40 N 43",https://www.astrosage.com/celebrity-horoscope/brian-hill-horoscope.asp,Reference,Internet
Lance Armstrong,"September 18, 1971",12:00:00,Plano,https://www.astrosage.com/celebrity-horoscope/lance-armstrong-horoscope.asp,Dirty Data,Unknown
Phil Jackson,"September 17, 1945",17:39:59,"112 W 43, 46 N 22",https://www.astrosage.com/celebrity-horoscope/phil-jackson-horoscope.asp,Reference,Internet
Kelly Marie Miller,"September 16, 1978",07:40:00,"92 W 28, 44 N 0",https://www.astrosage.com/celebrity-horoscope/kelly-marie-miller-horoscope.asp,Dirty Data,Unknown
Eric Abidal,"September 11, 1979",18:25:00,Lyons,https://www.astrosage.com/celebrity-horoscope/eric-abidal-horoscope.asp,Reference,Internet
Joachim Low,"February 03, 1960",12:45:00,Schwarzwald,https://www.astrosage.com/celebrity-horoscope/joachim-low-horoscope.asp,Reference,Reference
Phil Foden,"May 28, 2000",00:00:00,Manchester,https://www.astrosage.com/celebrity-horoscope/phil-foden-horoscope.asp,Reference,Internet
Drew Brees,"January 15, 1979",00:00:00,Austin,https://www.astrosage.com/celebrity-horoscope/drew-brees-horoscope.asp,Reference,Web
Andrew Luck,"September 12, 1989",00:00:00,Washington D.C.,https://www.astrosage.com/celebrity-horoscope/andrew-luck-horoscope.asp,Reference,Web
Terry Bradshaw,"September 12, 1948",11:10:00,Shreveport LA,https://www.astrosage.com/celebrity-horoscope/terry-bradshaw-horoscope.asp,Reference,Web
Roy Hodgson,"August 09, 1947",12:00:00,Croydon,https://www.astrosage.com/celebrity-horoscope/roy-hodgson-horoscope.asp,Dirty Data,Unknown
Chris Miller,"August 09, 1965",09:36:59,"117 W 45, 34 N 3",https://www.astrosage.com/celebrity-horoscope/chris-miller-horoscope.asp,Reference,Internet
Justin Ryan Simpson,"August 06, 1988",23:46:00,"118 W 29, 34 N 0",https://www.astrosage.com/celebrity-horoscope/justin-ryan-simpson-horoscope.asp,Reference,Internet
Marco Verratti,"November 05, 1992",12:00:00,Pescara,https://www.astrosage.com/celebrity-horoscope/marco-verratti-horoscope.asp,Dirty Data,Unknown
Lorenzo Insigne,"June 04, 1991",12:00:00,Naples,https://www.astrosage.com/celebrity-horoscope/lorenzo-insigne-horoscope.asp,Dirty Data,Unknown
Gabriel Paletta,"February 15, 1986",12:00:00,"Longchamps, Buenos Aires, Argentina",https://www.astrosage.com/celebrity-horoscope/gabriel-paletta-horoscope.asp,Dirty Data,Unknown
Leonardo Bonucci,"May 01, 1987",12:00:00,"Viterbo, Italy",https://www.astrosage.com/celebrity-horoscope/leonardo-bonucci-horoscope.asp,Dirty Data,Unknown
Ciro Immobile,"February 20, 1990",12:00:00,"Torre Annunziata, Italy",https://www.astrosage.com/celebrity-horoscope/ciro-immobile-horoscope.asp,Dirty Data,Unknown
Marco Parolo,"January 25, 1985",12:00:55,"Gallarate, Italy",https://www.astrosage.com/celebrity-horoscope/marco-parolo-horoscope.asp,Dirty Data,Unknown
Daniele De Rossi,"July 24, 1983",12:00:00,Rome,https://www.astrosage.com/celebrity-horoscope/daniele-de-rossi-horoscope.asp,Dirty Data,Unknown
Andrea Barzagli,"May 08, 1981",12:00:00,"Fiesole, Italy",https://www.astrosage.com/celebrity-horoscope/andrea-barzagli-horoscope.asp,Dirty Data,Unknown
Alberto Aquilani,"July 07, 1984",12:00:00,Rome,https://www.astrosage.com/celebrity-horoscope/alberto-aquilani-horoscope.asp,Dirty Data,Unknown
Mattia Perin,"November 10, 1992",12:00:00,Latina,https://www.astrosage.com/celebrity-horoscope/mattia-perin-horoscope.asp,Dirty Data,Unknown
Salvatore Sirigu,"January 12, 1987",12:00:00,"Nuoro, Italy",https://www.astrosage.com/celebrity-horoscope/salvatore-sirigu-horoscope.asp,Dirty Data,Unknown
Alessio Cerci,"July 23, 1987",12:00:00,"Velletri, Italy",https://www.astrosage.com/celebrity-horoscope/alessio-cerci-horoscope.asp,Dirty Data,Unknown
Antonio Cassano,"July 12, 1982",12:00:00,Bari,https://www.astrosage.com/celebrity-horoscope/antonio-cassano-horoscope.asp,Dirty Data,Unknown
Mario Balotelli,"August 12, 1990",12:00:00,Palermo,https://www.astrosage.com/celebrity-horoscope/mario-balotelli-horoscope.asp,Dirty Data,Unknown
Claudio Marchisio,"January 19, 1986",12:00:00,Turin,https://www.astrosage.com/celebrity-horoscope/claudio-marchisio-horoscope.asp,Dirty Data,Unknown
Ignazio Abate,"November 12, 1986",12:00:00,"Sant''Agata de'' Goti, Italy",https://www.astrosage.com/celebrity-horoscope/ignazio-abate-horoscope.asp,Dirty Data,Unknown
Antonio Candreva,"February 28, 1987",12:00:00,Rome,https://www.astrosage.com/celebrity-horoscope/antonio-candreva-horoscope.asp,Dirty Data,Unknown
Thiago Motta,"August 28, 1982",12:00:00,"So Bernardo do Campo, Sao Paulo, Brazil",https://www.astrosage.com/celebrity-horoscope/thiago-motta-horoscope.asp,Dirty Data,Unknown
Matteo Darmian,"December 02, 1989",12:00:00,"Legnano, Italy",https://www.astrosage.com/celebrity-horoscope/matteo-darmian-horoscope.asp,Dirty Data,Unknown
Giorgio Chiellini,"August 14, 1984",12:00:00,Pisa,https://www.astrosage.com/celebrity-horoscope/giorgio-chiellini-horoscope.asp,Dirty Data,Unknown
Mattia De Sciglio,"October 20, 1992",12:00:00,Milan,https://www.astrosage.com/celebrity-horoscope/mattia-de-sciglio-horoscope.asp,Dirty Data,Unknown
Yuvraj Walmiki,"November 25, 1990",12:00:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/yuvraj-walmiki-horoscope.asp,Dirty Data,Unknown
Michael Nobbs,"January 04, 1954",12:00:00,Australian Alps,https://www.astrosage.com/celebrity-horoscope/michael-nobbs-horoscope.asp,Dirty Data,Unknown
Sreejesh Ravindran,"May 08, 1988",12:00:00,Kumarapuram,https://www.astrosage.com/celebrity-horoscope/sreejesh-ravindran-horoscope.asp,Dirty Data,Unknown
V. R. Raghunath,"November 01, 1988",12:00:00,Kodagu,https://www.astrosage.com/celebrity-horoscope/v-r-raghunath-horoscope.asp,Dirty Data,Unknown
Deepak Thakur,"December 28, 1980",12:00:00,Bhamowal,https://www.astrosage.com/celebrity-horoscope/deepak-thakur-horoscope.asp,Dirty Data,Unknown
Danish Mujtaba,"December 20, 1988",12:00:00,Allahabad,https://www.astrosage.com/celebrity-horoscope/danish-mujtaba-horoscope.asp,Dirty Data,Unknown
Jose Brasa,"August 22, 1951",12:00:00,Spanish,https://www.astrosage.com/celebrity-horoscope/jose-brasa-horoscope.asp,Dirty Data,Unknown
Gurbaj Singh,"August 09, 1988",12:00:00,Jalandhar,https://www.astrosage.com/celebrity-horoscope/gurbaj-singh-horoscope.asp,Dirty Data,Unknown
Rajpal Singh,"August 08, 1983",12:00:00,Chandigarh,https://www.astrosage.com/celebrity-horoscope/rajpal-singh-horoscope.asp,Dirty Data,Unknown
Sardara Singh,"July 15, 1986",12:00:00,Sant Nagar,https://www.astrosage.com/celebrity-horoscope/sardara-singh-horoscope.asp,Dirty Data,Unknown
Sarwanjit Singh,"July 03, 1988",12:00:00,Ludhiana,https://www.astrosage.com/celebrity-horoscope/sarwanjit-singh-horoscope.asp,Dirty Data,Unknown
Shivendra Singh,"June 09, 1983",12:00:00,Gwalior,https://www.astrosage.com/celebrity-horoscope/shivendra-singh-horoscope.asp,Dirty Data,Unknown
Sreejesh Raveendran,"May 08, 1988",12:00:00,Chandigarh,https://www.astrosage.com/celebrity-horoscope/sreejesh-raveendran-horoscope.asp,Dirty Data,Unknown
Tushar Khandker,"April 05, 1985",12:00:00,Jhansi,https://www.astrosage.com/celebrity-horoscope/tushar-khandker-horoscope.asp,Dirty Data,Unknown
Adrian D Souza,"March 24, 1984",12:00:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/adrian-d-souza-horoscope.asp,Dirty Data,Unknown
Sandeep Singh,"February 27, 1986",12:00:00,Shahabad Kurukshetra,https://www.astrosage.com/celebrity-horoscope/sandeep-singh-horoscope.asp,Dirty Data,Unknown
K. D. Singh Babu,"February 02, 1923",04:00:00,Barabanki,https://www.astrosage.com/celebrity-horoscope/k-d-singh-babu-horoscope.asp,Accurate,The Times Select Horoscopes
Malaika Arora Khan,"August 23, 1973",12:00:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/malaika-arora-khan-horoscope.asp,Dirty Data,Unknown
About Satish Kaushik/ Who is Satish Kaushik ?,"April 13, 1956",12:00:00,Mahendragarh,https://www.astrosage.com/celebrity-horoscope/satish-kaushik-horoscope.asp,Dirty Data,Unknown
About Vinod Khanna/ Who is Vinod Khanna ?,"October 6, 1946",21:15:00,Peshawar,https://www.astrosage.com/celebrity-horoscope/vinod-khanna-horoscope.asp,Accurate,Kundli Sangraha (Tendulkar)
About Alia Bhatt/ Who is Alia Bhatt ?,"March 15, 1993",04:10:00,London,https://www.astrosage.com/celebrity-horoscope/alia-bhatt-horoscope.asp,Reference,Reference
About Divyendu Sharma/ Who is Divyendu Sharma ?,"May 13, 1983",12:00:00,Delhi,https://www.astrosage.com/celebrity-horoscope/divyendu-sharma-horoscope.asp,Dirty Data,Dirty Data
About Hrithik Roshan/ Who is Hrithik Roshan ?,"January 10, 1974",03:24:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/hrithik-roshan-horoscope.asp,Accurate,Kundli Sangraha (Bhat)
Sushant Singh Rajput,"January 21, 1986",12:00:00,Patna,https://www.astrosage.com/celebrity-horoscope/sushant-singh-rajput-horoscope.asp,Dirty Data,Unknown
Dulquer Salmaan,"July 28, 1986",12:00:00,Cochin,https://www.astrosage.com/celebrity-horoscope/dulquer-salmaan-horoscope.asp,Dirty Data,Dirty Data
Abhimanyu Singh,"September 20, 1975",12:00:00,Sonepur,https://www.astrosage.com/celebrity-horoscope/abhimanyu-singh-horoscope.asp,Dirty Data,Dirty Data
Vatsal Sheth,"August 5, 1980",12:00:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/vatsal-sheth-horoscope.asp,Dirty Data,Dirty Data
Sumedh Mudgalkar,"November 2, 1996",12:00:00,Pune,https://www.astrosage.com/celebrity-horoscope/sumedh-mudgalkar-horoscope.asp,Dirty Data,Dirty Data
Richa Chadda,"December 18, 1986",12:00:00,Amritsar,https://www.astrosage.com/celebrity-horoscope/richa-chadda-horoscope.asp,Dirty Data,Unknown
Sajid Khan,"December 28, 1951",12:00:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/sajid-khan-horoscope.asp,Dirty Data,Unknown
Rakhi Sawant,"November 25, 1978",11:07:02,Badarpur,https://www.astrosage.com/celebrity-horoscope/rakhi-sawant-horoscope.asp,Dirty Data,Unknown
Rishi Kapoor,"September 4, 1952",23:10:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/rishi-kapoor-horoscope.asp,Reference,765 Notable Horoscopes
Irrfan Khan,"January 7, 1967",12:00:00,Jaipur,https://www.astrosage.com/celebrity-horoscope/irrfan-khan-horoscope.asp,Dirty Data,Unknown
Ishaa Koppikar,"September 19, 1976",12:00:00,Mumbai,https://www.astrosage.com/celebrity-horoscope/ishaa-koppikar-horoscope.asp,Dirty Data,Unknown
